City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Algodones,MX,20.3888,-105.4773,297.12,50,7,3.86,clear sky
325,Jalu,LY,29.0331,21.5482,287.14,43,66,4.56,broken clouds
326,Katsuura,JP,35.1333,140.3,276.16,55,84,7.63,broken clouds
327,Alushta,UA,44.6667,34.4167,275.96,80,53,3.77,light rain
328,Caramay,PH,10.1815,119.236,296.67,90,100,1.1,overcast clouds
329,Zverinogolovskoye,RU,54.4586,64.8542,259.22,91,100,3.48,overcast clouds
330,Colquechaca,BO,-18.6667,-66.0167,281.61,49,100,3.41,overcast clouds
331,Stephenville,US,32.2207,-98.2023,291.91,35,0,11.32,clear sky
332,Bam,IR,29.106,58.357,291.0,31,26,3.39,scattered clouds
333,Ostrovnoy,RU,68.0531,39.5131,262.82,95,83,3.58,broken clouds
334,Sungaipenuh,ID,-2.0833,101.3833,290.12,94,100,0.83,overcast clouds
335,Kruisfontein,ZA,-34.0033,24.7314,294.16,86,98,3.39,light rain
336,Sortavala,RU,61.7053,30.6918,268.76,96,100,0.76,light snow
337,Campiglia Marittima,IT,43.0602,10.6152,285.2,78,0,3.91,clear sky
338,Macas,EC,-2.3167,-78.1167,294.01,100,75,1.54,light rain
339,Havelock,US,34.8791,-76.9013,291.47,45,0,5.14,clear sky
340,Kerema,PG,-7.9631,145.7785,299.08,86,100,5.59,moderate rain
341,Melo,UY,-32.3667,-54.1833,296.37,74,100,4.77,heavy intensity rain
342,Pisco,PE,-13.7,-76.2167,303.18,54,0,5.66,clear sky
343,Aksu,CN,41.1231,80.2644,271.66,59,79,2.13,broken clouds
